test_data\images\DJI_0009_patch_00.JPG test_data\masks\DJI_0009_patch_00.JPG
test_data\images\DJI_0357_patch_05.JPG test_data\masks\DJI_0357_patch_05.JPG
test_data\images\DJI_0357_patch_06.JPG test_data\masks\DJI_0357_patch_06.JPG
test_data\images\DJI_0357_patch_10.JPG test_data\masks\DJI_0357_patch_10.JPG
test_data\images\DJI_0357_patch_11.JPG test_data\masks\DJI_0357_patch_11.JPG
test_data\images\DJI_0357_patch_12.JPG test_data\masks\DJI_0357_patch_12.JPG
test_data\images\DJI_0357_patch_13.JPG test_data\masks\DJI_0357_patch_13.JPG
test_data\images\DJI_0357_patch_14.JPG test_data\masks\DJI_0357_patch_14.JPG
test_data\images\DJI_0357_patch_15.JPG test_data\masks\DJI_0357_patch_15.JPG
test_data\images\DJI_0357_patch_16.JPG test_data\masks\DJI_0357_patch_16.JPG
test_data\images\DJI_0357_patch_20.JPG test_data\masks\DJI_0357_patch_20.JPG
test_data\images\DJI_0357_patch_21.JPG test_data\masks\DJI_0357_patch_21.JPG
test_data\images\DJI_0357_patch_22.JPG test_data\masks\DJI_0357_patch_22.JPG
test_data\images\DJI_0357_patch_23.JPG test_data\masks\DJI_0357_patch_23.JPG
test_data\images\DJI_0357_patch_24.JPG test_data\masks\DJI_0357_patch_24.JPG
test_data\images\DJI_0357_patch_25.JPG test_data\masks\DJI_0357_patch_25.JPG
test_data\images\DJI_0357_patch_26.JPG test_data\masks\DJI_0357_patch_26.JPG
test_data\images\DJI_0357_patch_30.JPG test_data\masks\DJI_0357_patch_30.JPG
test_data\images\DJI_0357_patch_31.JPG test_data\masks\DJI_0357_patch_31.JPG
test_data\images\DJI_0357_patch_32.JPG test_data\masks\DJI_0357_patch_32.JPG
test_data\images\DJI_0357_patch_33.JPG test_data\masks\DJI_0357_patch_33.JPG
test_data\images\DJI_0357_patch_34.JPG test_data\masks\DJI_0357_patch_34.JPG
test_data\images\DJI_0357_patch_35.JPG test_data\masks\DJI_0357_patch_35.JPG
test_data\images\DJI_0357_patch_36.JPG test_data\masks\DJI_0357_patch_36.JPG
test_data\images\DJI_0357_patch_40.JPG test_data\masks\DJI_0357_patch_40.JPG
test_data\images\DJI_0357_patch_41.JPG test_data\masks\DJI_0357_patch_41.JPG
test_data\images\DJI_0357_patch_42.JPG test_data\masks\DJI_0357_patch_42.JPG
test_data\images\DJI_0357_patch_43.JPG test_data\masks\DJI_0357_patch_43.JPG
test_data\images\DJI_0357_patch_44.JPG test_data\masks\DJI_0357_patch_44.JPG
test_data\images\DJI_0357_patch_45.JPG test_data\masks\DJI_0357_patch_45.JPG
test_data\images\DJI_0357_patch_46.JPG test_data\masks\DJI_0357_patch_46.JPG
test_data\images\DJI_0359_patch_00.JPG test_data\masks\DJI_0359_patch_00.JPG
test_data\images\DJI_0359_patch_01.JPG test_data\masks\DJI_0359_patch_01.JPG
test_data\images\DJI_0359_patch_02.JPG test_data\masks\DJI_0359_patch_02.JPG
test_data\images\DJI_0359_patch_03.JPG test_data\masks\DJI_0359_patch_03.JPG
test_data\images\DJI_0359_patch_04.JPG test_data\masks\DJI_0359_patch_04.JPG
test_data\images\DJI_0359_patch_05.JPG test_data\masks\DJI_0359_patch_05.JPG
test_data\images\DJI_0359_patch_06.JPG test_data\masks\DJI_0359_patch_06.JPG
test_data\images\DJI_0359_patch_10.JPG test_data\masks\DJI_0359_patch_10.JPG
test_data\images\DJI_0359_patch_11.JPG test_data\masks\DJI_0359_patch_11.JPG
test_data\images\DJI_0359_patch_12.JPG test_data\masks\DJI_0359_patch_12.JPG
test_data\images\DJI_0359_patch_13.JPG test_data\masks\DJI_0359_patch_13.JPG
test_data\images\DJI_0359_patch_14.JPG test_data\masks\DJI_0359_patch_14.JPG
test_data\images\DJI_0359_patch_15.JPG test_data\masks\DJI_0359_patch_15.JPG
test_data\images\DJI_0359_patch_16.JPG test_data\masks\DJI_0359_patch_16.JPG
test_data\images\DJI_0359_patch_20.JPG test_data\masks\DJI_0359_patch_20.JPG
test_data\images\DJI_0359_patch_21.JPG test_data\masks\DJI_0359_patch_21.JPG
test_data\images\DJI_0359_patch_22.JPG test_data\masks\DJI_0359_patch_22.JPG
test_data\images\DJI_0359_patch_23.JPG test_data\masks\DJI_0359_patch_23.JPG
test_data\images\DJI_0359_patch_24.JPG test_data\masks\DJI_0359_patch_24.JPG
test_data\images\DJI_0359_patch_25.JPG test_data\masks\DJI_0359_patch_25.JPG
test_data\images\DJI_0359_patch_26.JPG test_data\masks\DJI_0359_patch_26.JPG
test_data\images\DJI_0359_patch_30.JPG test_data\masks\DJI_0359_patch_30.JPG
test_data\images\DJI_0359_patch_31.JPG test_data\masks\DJI_0359_patch_31.JPG
test_data\images\DJI_0359_patch_32.JPG test_data\masks\DJI_0359_patch_32.JPG
test_data\images\DJI_0359_patch_33.JPG test_data\masks\DJI_0359_patch_33.JPG
test_data\images\DJI_0359_patch_34.JPG test_data\masks\DJI_0359_patch_34.JPG
test_data\images\DJI_0359_patch_35.JPG test_data\masks\DJI_0359_patch_35.JPG
test_data\images\DJI_0359_patch_36.JPG test_data\masks\DJI_0359_patch_36.JPG
test_data\images\DJI_0359_patch_40.JPG test_data\masks\DJI_0359_patch_40.JPG
test_data\images\DJI_0359_patch_41.JPG test_data\masks\DJI_0359_patch_41.JPG
test_data\images\DJI_0359_patch_42.JPG test_data\masks\DJI_0359_patch_42.JPG
test_data\images\DJI_0359_patch_43.JPG test_data\masks\DJI_0359_patch_43.JPG
test_data\images\DJI_0359_patch_44.JPG test_data\masks\DJI_0359_patch_44.JPG
test_data\images\DJI_0359_patch_45.JPG test_data\masks\DJI_0359_patch_45.JPG
test_data\images\DJI_0359_patch_46.JPG test_data\masks\DJI_0359_patch_46.JPG
test_data\images\DJI_0399_patch_00.JPG test_data\masks\DJI_0399_patch_00.JPG
test_data\images\DJI_0399_patch_01.JPG test_data\masks\DJI_0399_patch_01.JPG
test_data\images\DJI_0399_patch_02.JPG test_data\masks\DJI_0399_patch_02.JPG
test_data\images\DJI_0399_patch_03.JPG test_data\masks\DJI_0399_patch_03.JPG
test_data\images\DJI_0399_patch_04.JPG test_data\masks\DJI_0399_patch_04.JPG
test_data\images\DJI_0399_patch_05.JPG test_data\masks\DJI_0399_patch_05.JPG
test_data\images\DJI_0399_patch_06.JPG test_data\masks\DJI_0399_patch_06.JPG
test_data\images\DJI_0399_patch_10.JPG test_data\masks\DJI_0399_patch_10.JPG
test_data\images\DJI_0399_patch_11.JPG test_data\masks\DJI_0399_patch_11.JPG
test_data\images\DJI_0399_patch_12.JPG test_data\masks\DJI_0399_patch_12.JPG
test_data\images\DJI_0399_patch_13.JPG test_data\masks\DJI_0399_patch_13.JPG
test_data\images\DJI_0399_patch_14.JPG test_data\masks\DJI_0399_patch_14.JPG
test_data\images\DJI_0399_patch_15.JPG test_data\masks\DJI_0399_patch_15.JPG
test_data\images\DJI_0399_patch_16.JPG test_data\masks\DJI_0399_patch_16.JPG
test_data\images\DJI_0399_patch_20.JPG test_data\masks\DJI_0399_patch_20.JPG
test_data\images\DJI_0399_patch_21.JPG test_data\masks\DJI_0399_patch_21.JPG
test_data\images\DJI_0399_patch_22.JPG test_data\masks\DJI_0399_patch_22.JPG
test_data\images\DJI_0399_patch_23.JPG test_data\masks\DJI_0399_patch_23.JPG
test_data\images\DJI_0399_patch_24.JPG test_data\masks\DJI_0399_patch_24.JPG
test_data\images\DJI_0399_patch_25.JPG test_data\masks\DJI_0399_patch_25.JPG
test_data\images\DJI_0399_patch_26.JPG test_data\masks\DJI_0399_patch_26.JPG
test_data\images\DJI_0399_patch_30.JPG test_data\masks\DJI_0399_patch_30.JPG
test_data\images\DJI_0399_patch_31.JPG test_data\masks\DJI_0399_patch_31.JPG
test_data\images\DJI_0399_patch_32.JPG test_data\masks\DJI_0399_patch_32.JPG
test_data\images\DJI_0399_patch_33.JPG test_data\masks\DJI_0399_patch_33.JPG
test_data\images\DJI_0399_patch_34.JPG test_data\masks\DJI_0399_patch_34.JPG
test_data\images\DJI_0399_patch_35.JPG test_data\masks\DJI_0399_patch_35.JPG
test_data\images\DJI_0399_patch_36.JPG test_data\masks\DJI_0399_patch_36.JPG
test_data\images\DJI_0399_patch_40.JPG test_data\masks\DJI_0399_patch_40.JPG
test_data\images\DJI_0399_patch_41.JPG test_data\masks\DJI_0399_patch_41.JPG
test_data\images\DJI_0399_patch_42.JPG test_data\masks\DJI_0399_patch_42.JPG
test_data\images\DJI_0399_patch_43.JPG test_data\masks\DJI_0399_patch_43.JPG
test_data\images\DJI_0399_patch_44.JPG test_data\masks\DJI_0399_patch_44.JPG
test_data\images\DJI_0399_patch_45.JPG test_data\masks\DJI_0399_patch_45.JPG
test_data\images\DJI_0399_patch_46.JPG test_data\masks\DJI_0399_patch_46.JPG
test_data\images\DJI_0403_patch_00.JPG test_data\masks\DJI_0403_patch_00.JPG
test_data\images\DJI_0403_patch_01.JPG test_data\masks\DJI_0403_patch_01.JPG
test_data\images\DJI_0403_patch_02.JPG test_data\masks\DJI_0403_patch_02.JPG
test_data\images\DJI_0403_patch_03.JPG test_data\masks\DJI_0403_patch_03.JPG
test_data\images\DJI_0403_patch_04.JPG test_data\masks\DJI_0403_patch_04.JPG
test_data\images\DJI_0403_patch_05.JPG test_data\masks\DJI_0403_patch_05.JPG
test_data\images\DJI_0403_patch_06.JPG test_data\masks\DJI_0403_patch_06.JPG
test_data\images\DJI_0403_patch_10.JPG test_data\masks\DJI_0403_patch_10.JPG
test_data\images\DJI_0403_patch_11.JPG test_data\masks\DJI_0403_patch_11.JPG
test_data\images\DJI_0403_patch_12.JPG test_data\masks\DJI_0403_patch_12.JPG
test_data\images\DJI_0403_patch_13.JPG test_data\masks\DJI_0403_patch_13.JPG
test_data\images\DJI_0403_patch_14.JPG test_data\masks\DJI_0403_patch_14.JPG
test_data\images\DJI_0403_patch_15.JPG test_data\masks\DJI_0403_patch_15.JPG
test_data\images\DJI_0403_patch_16.JPG test_data\masks\DJI_0403_patch_16.JPG
test_data\images\DJI_0403_patch_20.JPG test_data\masks\DJI_0403_patch_20.JPG
test_data\images\DJI_0403_patch_21.JPG test_data\masks\DJI_0403_patch_21.JPG
test_data\images\DJI_0403_patch_22.JPG test_data\masks\DJI_0403_patch_22.JPG
test_data\images\DJI_0403_patch_23.JPG test_data\masks\DJI_0403_patch_23.JPG
test_data\images\DJI_0403_patch_24.JPG test_data\masks\DJI_0403_patch_24.JPG
test_data\images\DJI_0403_patch_25.JPG test_data\masks\DJI_0403_patch_25.JPG
test_data\images\DJI_0403_patch_26.JPG test_data\masks\DJI_0403_patch_26.JPG
test_data\images\DJI_0403_patch_30.JPG test_data\masks\DJI_0403_patch_30.JPG
test_data\images\DJI_0403_patch_31.JPG test_data\masks\DJI_0403_patch_31.JPG
test_data\images\DJI_0403_patch_32.JPG test_data\masks\DJI_0403_patch_32.JPG
test_data\images\DJI_0403_patch_33.JPG test_data\masks\DJI_0403_patch_33.JPG
test_data\images\DJI_0403_patch_34.JPG test_data\masks\DJI_0403_patch_34.JPG
test_data\images\DJI_0403_patch_35.JPG test_data\masks\DJI_0403_patch_35.JPG
test_data\images\DJI_0403_patch_36.JPG test_data\masks\DJI_0403_patch_36.JPG
test_data\images\DJI_0403_patch_40.JPG test_data\masks\DJI_0403_patch_40.JPG
test_data\images\DJI_0403_patch_41.JPG test_data\masks\DJI_0403_patch_41.JPG
test_data\images\DJI_0403_patch_42.JPG test_data\masks\DJI_0403_patch_42.JPG
test_data\images\DJI_0403_patch_43.JPG test_data\masks\DJI_0403_patch_43.JPG
test_data\images\DJI_0403_patch_44.JPG test_data\masks\DJI_0403_patch_44.JPG
test_data\images\DJI_0403_patch_45.JPG test_data\masks\DJI_0403_patch_45.JPG
test_data\images\DJI_0403_patch_46.JPG test_data\masks\DJI_0403_patch_46.JPG
test_data\images\DJI_0459_patch_00.JPG test_data\masks\DJI_0459_patch_00.JPG
test_data\images\DJI_0459_patch_01.JPG test_data\masks\DJI_0459_patch_01.JPG
test_data\images\DJI_0459_patch_02.JPG test_data\masks\DJI_0459_patch_02.JPG
test_data\images\DJI_0459_patch_03.JPG test_data\masks\DJI_0459_patch_03.JPG
test_data\images\DJI_0459_patch_04.JPG test_data\masks\DJI_0459_patch_04.JPG
test_data\images\DJI_0459_patch_05.JPG test_data\masks\DJI_0459_patch_05.JPG
test_data\images\DJI_0459_patch_06.JPG test_data\masks\DJI_0459_patch_06.JPG
test_data\images\DJI_0459_patch_10.JPG test_data\masks\DJI_0459_patch_10.JPG
test_data\images\DJI_0459_patch_11.JPG test_data\masks\DJI_0459_patch_11.JPG
test_data\images\DJI_0459_patch_12.JPG test_data\masks\DJI_0459_patch_12.JPG
test_data\images\DJI_0459_patch_13.JPG test_data\masks\DJI_0459_patch_13.JPG
test_data\images\DJI_0459_patch_14.JPG test_data\masks\DJI_0459_patch_14.JPG
test_data\images\DJI_0459_patch_15.JPG test_data\masks\DJI_0459_patch_15.JPG
test_data\images\DJI_0459_patch_16.JPG test_data\masks\DJI_0459_patch_16.JPG
test_data\images\DJI_0459_patch_20.JPG test_data\masks\DJI_0459_patch_20.JPG
test_data\images\DJI_0459_patch_21.JPG test_data\masks\DJI_0459_patch_21.JPG
test_data\images\DJI_0459_patch_22.JPG test_data\masks\DJI_0459_patch_22.JPG
test_data\images\DJI_0459_patch_23.JPG test_data\masks\DJI_0459_patch_23.JPG
test_data\images\DJI_0459_patch_24.JPG test_data\masks\DJI_0459_patch_24.JPG
test_data\images\DJI_0459_patch_25.JPG test_data\masks\DJI_0459_patch_25.JPG
test_data\images\DJI_0459_patch_26.JPG test_data\masks\DJI_0459_patch_26.JPG
test_data\images\DJI_0459_patch_30.JPG test_data\masks\DJI_0459_patch_30.JPG
test_data\images\DJI_0459_patch_31.JPG test_data\masks\DJI_0459_patch_31.JPG
test_data\images\DJI_0459_patch_32.JPG test_data\masks\DJI_0459_patch_32.JPG
test_data\images\DJI_0459_patch_33.JPG test_data\masks\DJI_0459_patch_33.JPG
test_data\images\DJI_0459_patch_34.JPG test_data\masks\DJI_0459_patch_34.JPG
test_data\images\DJI_0459_patch_35.JPG test_data\masks\DJI_0459_patch_35.JPG
test_data\images\DJI_0459_patch_36.JPG test_data\masks\DJI_0459_patch_36.JPG
test_data\images\DJI_0459_patch_40.JPG test_data\masks\DJI_0459_patch_40.JPG
test_data\images\DJI_0459_patch_41.JPG test_data\masks\DJI_0459_patch_41.JPG
test_data\images\DJI_0459_patch_42.JPG test_data\masks\DJI_0459_patch_42.JPG
test_data\images\DJI_0459_patch_43.JPG test_data\masks\DJI_0459_patch_43.JPG
test_data\images\DJI_0459_patch_44.JPG test_data\masks\DJI_0459_patch_44.JPG
test_data\images\DJI_0459_patch_45.JPG test_data\masks\DJI_0459_patch_45.JPG
test_data\images\DJI_0459_patch_46.JPG test_data\masks\DJI_0459_patch_46.JPG
test_data\images\DJI_0469_patch_00.JPG test_data\masks\DJI_0469_patch_00.JPG
test_data\images\DJI_0469_patch_01.JPG test_data\masks\DJI_0469_patch_01.JPG
test_data\images\DJI_0469_patch_02.JPG test_data\masks\DJI_0469_patch_02.JPG
test_data\images\DJI_0469_patch_03.JPG test_data\masks\DJI_0469_patch_03.JPG
test_data\images\DJI_0469_patch_04.JPG test_data\masks\DJI_0469_patch_04.JPG
test_data\images\DJI_0469_patch_05.JPG test_data\masks\DJI_0469_patch_05.JPG
test_data\images\DJI_0469_patch_06.JPG test_data\masks\DJI_0469_patch_06.JPG
test_data\images\DJI_0469_patch_10.JPG test_data\masks\DJI_0469_patch_10.JPG
test_data\images\DJI_0469_patch_11.JPG test_data\masks\DJI_0469_patch_11.JPG
test_data\images\DJI_0469_patch_12.JPG test_data\masks\DJI_0469_patch_12.JPG
test_data\images\DJI_0469_patch_13.JPG test_data\masks\DJI_0469_patch_13.JPG
test_data\images\DJI_0469_patch_14.JPG test_data\masks\DJI_0469_patch_14.JPG
test_data\images\DJI_0469_patch_15.JPG test_data\masks\DJI_0469_patch_15.JPG
test_data\images\DJI_0469_patch_16.JPG test_data\masks\DJI_0469_patch_16.JPG
test_data\images\DJI_0469_patch_20.JPG test_data\masks\DJI_0469_patch_20.JPG
test_data\images\DJI_0469_patch_21.JPG test_data\masks\DJI_0469_patch_21.JPG
test_data\images\DJI_0469_patch_22.JPG test_data\masks\DJI_0469_patch_22.JPG
test_data\images\DJI_0469_patch_23.JPG test_data\masks\DJI_0469_patch_23.JPG
test_data\images\DJI_0469_patch_24.JPG test_data\masks\DJI_0469_patch_24.JPG
test_data\images\DJI_0469_patch_25.JPG test_data\masks\DJI_0469_patch_25.JPG
test_data\images\DJI_0469_patch_26.JPG test_data\masks\DJI_0469_patch_26.JPG
test_data\images\DJI_0469_patch_30.JPG test_data\masks\DJI_0469_patch_30.JPG
test_data\images\DJI_0469_patch_31.JPG test_data\masks\DJI_0469_patch_31.JPG
test_data\images\DJI_0469_patch_32.JPG test_data\masks\DJI_0469_patch_32.JPG
test_data\images\DJI_0469_patch_33.JPG test_data\masks\DJI_0469_patch_33.JPG
test_data\images\DJI_0469_patch_34.JPG test_data\masks\DJI_0469_patch_34.JPG
test_data\images\DJI_0469_patch_35.JPG test_data\masks\DJI_0469_patch_35.JPG
test_data\images\DJI_0469_patch_36.JPG test_data\masks\DJI_0469_patch_36.JPG
test_data\images\DJI_0469_patch_40.JPG test_data\masks\DJI_0469_patch_40.JPG
test_data\images\DJI_0469_patch_41.JPG test_data\masks\DJI_0469_patch_41.JPG
test_data\images\DJI_0469_patch_42.JPG test_data\masks\DJI_0469_patch_42.JPG
test_data\images\DJI_0469_patch_43.JPG test_data\masks\DJI_0469_patch_43.JPG
test_data\images\DJI_0469_patch_44.JPG test_data\masks\DJI_0469_patch_44.JPG
test_data\images\DJI_0469_patch_45.JPG test_data\masks\DJI_0469_patch_45.JPG
test_data\images\DJI_0469_patch_46.JPG test_data\masks\DJI_0469_patch_46.JPG
test_data\images\DJI_0526_patch_00.JPG test_data\masks\DJI_0526_patch_00.JPG
test_data\images\DJI_0526_patch_01.JPG test_data\masks\DJI_0526_patch_01.JPG
