train_data\images\DJI_0008_patch_00.jpg train_data\masks\DJI_0008_patch_00.png
train_data\images\DJI_0011_patch_25.jpg train_data\masks\DJI_0011_patch_25.png
train_data\images\DJI_0011_patch_26.jpg train_data\masks\DJI_0011_patch_26.png
train_data\images\DJI_0011_patch_30.jpg train_data\masks\DJI_0011_patch_30.png
train_data\images\DJI_0011_patch_31.jpg train_data\masks\DJI_0011_patch_31.png
train_data\images\DJI_0011_patch_32.jpg train_data\masks\DJI_0011_patch_32.png
train_data\images\DJI_0011_patch_33.jpg train_data\masks\DJI_0011_patch_33.png
train_data\images\DJI_0011_patch_34.jpg train_data\masks\DJI_0011_patch_34.png
train_data\images\DJI_0011_patch_35.jpg train_data\masks\DJI_0011_patch_35.png
train_data\images\DJI_0011_patch_36.jpg train_data\masks\DJI_0011_patch_36.png
train_data\images\DJI_0011_patch_40.jpg train_data\masks\DJI_0011_patch_40.png
train_data\images\DJI_0011_patch_41.jpg train_data\masks\DJI_0011_patch_41.png
train_data\images\DJI_0011_patch_42.jpg train_data\masks\DJI_0011_patch_42.png
train_data\images\DJI_0011_patch_43.jpg train_data\masks\DJI_0011_patch_43.png
train_data\images\DJI_0011_patch_44.jpg train_data\masks\DJI_0011_patch_44.png
train_data\images\DJI_0011_patch_45.jpg train_data\masks\DJI_0011_patch_45.png
train_data\images\DJI_0011_patch_46.jpg train_data\masks\DJI_0011_patch_46.png
train_data\images\DJI_0012_patch_00.jpg train_data\masks\DJI_0012_patch_00.png
train_data\images\DJI_0012_patch_01.jpg train_data\masks\DJI_0012_patch_01.png
train_data\images\DJI_0012_patch_02.jpg train_data\masks\DJI_0012_patch_02.png
train_data\images\DJI_0012_patch_03.jpg train_data\masks\DJI_0012_patch_03.png
train_data\images\DJI_0012_patch_04.jpg train_data\masks\DJI_0012_patch_04.png
train_data\images\DJI_0012_patch_05.jpg train_data\masks\DJI_0012_patch_05.png
train_data\images\DJI_0012_patch_06.jpg train_data\masks\DJI_0012_patch_06.png
train_data\images\DJI_0012_patch_10.jpg train_data\masks\DJI_0012_patch_10.png
train_data\images\DJI_0012_patch_11.jpg train_data\masks\DJI_0012_patch_11.png
train_data\images\DJI_0012_patch_12.jpg train_data\masks\DJI_0012_patch_12.png
train_data\images\DJI_0012_patch_13.jpg train_data\masks\DJI_0012_patch_13.png
train_data\images\DJI_0012_patch_14.jpg train_data\masks\DJI_0012_patch_14.png
train_data\images\DJI_0012_patch_15.jpg train_data\masks\DJI_0012_patch_15.png
train_data\images\DJI_0012_patch_16.jpg train_data\masks\DJI_0012_patch_16.png
train_data\images\DJI_0012_patch_20.jpg train_data\masks\DJI_0012_patch_20.png
train_data\images\DJI_0012_patch_21.jpg train_data\masks\DJI_0012_patch_21.png
train_data\images\DJI_0012_patch_22.jpg train_data\masks\DJI_0012_patch_22.png
train_data\images\DJI_0012_patch_23.jpg train_data\masks\DJI_0012_patch_23.png
train_data\images\DJI_0012_patch_24.jpg train_data\masks\DJI_0012_patch_24.png
train_data\images\DJI_0012_patch_25.jpg train_data\masks\DJI_0012_patch_25.png
train_data\images\DJI_0012_patch_26.jpg train_data\masks\DJI_0012_patch_26.png
train_data\images\DJI_0012_patch_30.jpg train_data\masks\DJI_0012_patch_30.png
train_data\images\DJI_0012_patch_31.jpg train_data\masks\DJI_0012_patch_31.png
train_data\images\DJI_0012_patch_32.jpg train_data\masks\DJI_0012_patch_32.png
train_data\images\DJI_0012_patch_33.jpg train_data\masks\DJI_0012_patch_33.png
train_data\images\DJI_0012_patch_34.jpg train_data\masks\DJI_0012_patch_34.png
train_data\images\DJI_0012_patch_35.jpg train_data\masks\DJI_0012_patch_35.png
train_data\images\DJI_0012_patch_36.jpg train_data\masks\DJI_0012_patch_36.png
train_data\images\DJI_0012_patch_40.jpg train_data\masks\DJI_0012_patch_40.png
train_data\images\DJI_0012_patch_41.jpg train_data\masks\DJI_0012_patch_41.png
train_data\images\DJI_0012_patch_42.jpg train_data\masks\DJI_0012_patch_42.png
train_data\images\DJI_0012_patch_43.jpg train_data\masks\DJI_0012_patch_43.png
train_data\images\DJI_0012_patch_44.jpg train_data\masks\DJI_0012_patch_44.png
train_data\images\DJI_0012_patch_45.jpg train_data\masks\DJI_0012_patch_45.png
train_data\images\DJI_0012_patch_46.jpg train_data\masks\DJI_0012_patch_46.png
train_data\images\DJI_0013_patch_00.jpg train_data\masks\DJI_0013_patch_00.png
train_data\images\DJI_0013_patch_01.jpg train_data\masks\DJI_0013_patch_01.png
train_data\images\DJI_0013_patch_02.jpg train_data\masks\DJI_0013_patch_02.png
train_data\images\DJI_0013_patch_03.jpg train_data\masks\DJI_0013_patch_03.png
train_data\images\DJI_0013_patch_04.jpg train_data\masks\DJI_0013_patch_04.png
train_data\images\DJI_0013_patch_05.jpg train_data\masks\DJI_0013_patch_05.png
train_data\images\DJI_0013_patch_06.jpg train_data\masks\DJI_0013_patch_06.png
train_data\images\DJI_0013_patch_10.jpg train_data\masks\DJI_0013_patch_10.png
train_data\images\DJI_0013_patch_11.jpg train_data\masks\DJI_0013_patch_11.png
train_data\images\DJI_0013_patch_12.jpg train_data\masks\DJI_0013_patch_12.png
train_data\images\DJI_0013_patch_13.jpg train_data\masks\DJI_0013_patch_13.png
train_data\images\DJI_0013_patch_14.jpg train_data\masks\DJI_0013_patch_14.png
train_data\images\DJI_0013_patch_15.jpg train_data\masks\DJI_0013_patch_15.png
train_data\images\DJI_0013_patch_16.jpg train_data\masks\DJI_0013_patch_16.png
train_data\images\DJI_0013_patch_20.jpg train_data\masks\DJI_0013_patch_20.png
train_data\images\DJI_0013_patch_21.jpg train_data\masks\DJI_0013_patch_21.png
train_data\images\DJI_0013_patch_22.jpg train_data\masks\DJI_0013_patch_22.png
train_data\images\DJI_0013_patch_23.jpg train_data\masks\DJI_0013_patch_23.png
train_data\images\DJI_0013_patch_24.jpg train_data\masks\DJI_0013_patch_24.png
train_data\images\DJI_0013_patch_25.jpg train_data\masks\DJI_0013_patch_25.png
train_data\images\DJI_0013_patch_26.jpg train_data\masks\DJI_0013_patch_26.png
train_data\images\DJI_0013_patch_30.jpg train_data\masks\DJI_0013_patch_30.png
train_data\images\DJI_0013_patch_31.jpg train_data\masks\DJI_0013_patch_31.png
train_data\images\DJI_0013_patch_32.jpg train_data\masks\DJI_0013_patch_32.png
train_data\images\DJI_0013_patch_33.jpg train_data\masks\DJI_0013_patch_33.png
train_data\images\DJI_0013_patch_34.jpg train_data\masks\DJI_0013_patch_34.png
train_data\images\DJI_0013_patch_35.jpg train_data\masks\DJI_0013_patch_35.png
train_data\images\DJI_0013_patch_36.jpg train_data\masks\DJI_0013_patch_36.png
train_data\images\DJI_0013_patch_40.jpg train_data\masks\DJI_0013_patch_40.png
train_data\images\DJI_0013_patch_41.jpg train_data\masks\DJI_0013_patch_41.png
train_data\images\DJI_0013_patch_42.jpg train_data\masks\DJI_0013_patch_42.png
train_data\images\DJI_0013_patch_43.jpg train_data\masks\DJI_0013_patch_43.png
train_data\images\DJI_0013_patch_44.jpg train_data\masks\DJI_0013_patch_44.png
train_data\images\DJI_0013_patch_45.jpg train_data\masks\DJI_0013_patch_45.png
train_data\images\DJI_0013_patch_46.jpg train_data\masks\DJI_0013_patch_46.png
train_data\images\DJI_0014_patch_00.jpg train_data\masks\DJI_0014_patch_00.png
train_data\images\DJI_0014_patch_01.jpg train_data\masks\DJI_0014_patch_01.png
train_data\images\DJI_0014_patch_02.jpg train_data\masks\DJI_0014_patch_02.png
train_data\images\DJI_0014_patch_03.jpg train_data\masks\DJI_0014_patch_03.png
train_data\images\DJI_0014_patch_04.jpg train_data\masks\DJI_0014_patch_04.png
train_data\images\DJI_0014_patch_05.jpg train_data\masks\DJI_0014_patch_05.png
train_data\images\DJI_0014_patch_06.jpg train_data\masks\DJI_0014_patch_06.png
train_data\images\DJI_0014_patch_10.jpg train_data\masks\DJI_0014_patch_10.png
train_data\images\DJI_0014_patch_11.jpg train_data\masks\DJI_0014_patch_11.png
train_data\images\DJI_0014_patch_12.jpg train_data\masks\DJI_0014_patch_12.png
train_data\images\DJI_0014_patch_13.jpg train_data\masks\DJI_0014_patch_13.png
train_data\images\DJI_0014_patch_14.jpg train_data\masks\DJI_0014_patch_14.png
train_data\images\DJI_0014_patch_15.jpg train_data\masks\DJI_0014_patch_15.png
train_data\images\DJI_0014_patch_16.jpg train_data\masks\DJI_0014_patch_16.png
train_data\images\DJI_0014_patch_20.jpg train_data\masks\DJI_0014_patch_20.png
train_data\images\DJI_0014_patch_21.jpg train_data\masks\DJI_0014_patch_21.png
train_data\images\DJI_0014_patch_22.jpg train_data\masks\DJI_0014_patch_22.png
train_data\images\DJI_0014_patch_23.jpg train_data\masks\DJI_0014_patch_23.png
train_data\images\DJI_0014_patch_24.jpg train_data\masks\DJI_0014_patch_24.png
train_data\images\DJI_0014_patch_25.jpg train_data\masks\DJI_0014_patch_25.png
train_data\images\DJI_0014_patch_26.jpg train_data\masks\DJI_0014_patch_26.png
train_data\images\DJI_0014_patch_30.jpg train_data\masks\DJI_0014_patch_30.png
train_data\images\DJI_0014_patch_31.jpg train_data\masks\DJI_0014_patch_31.png
train_data\images\DJI_0014_patch_32.jpg train_data\masks\DJI_0014_patch_32.png
train_data\images\DJI_0014_patch_33.jpg train_data\masks\DJI_0014_patch_33.png
train_data\images\DJI_0014_patch_34.jpg train_data\masks\DJI_0014_patch_34.png
train_data\images\DJI_0014_patch_35.jpg train_data\masks\DJI_0014_patch_35.png
train_data\images\DJI_0014_patch_36.jpg train_data\masks\DJI_0014_patch_36.png
train_data\images\DJI_0014_patch_40.jpg train_data\masks\DJI_0014_patch_40.png
train_data\images\DJI_0014_patch_41.jpg train_data\masks\DJI_0014_patch_41.png
train_data\images\DJI_0014_patch_42.jpg train_data\masks\DJI_0014_patch_42.png
train_data\images\DJI_0014_patch_43.jpg train_data\masks\DJI_0014_patch_43.png
train_data\images\DJI_0014_patch_44.jpg train_data\masks\DJI_0014_patch_44.png
train_data\images\DJI_0014_patch_45.jpg train_data\masks\DJI_0014_patch_45.png
train_data\images\DJI_0014_patch_46.jpg train_data\masks\DJI_0014_patch_46.png
train_data\images\DJI_0017_patch_00.jpg train_data\masks\DJI_0017_patch_00.png
train_data\images\DJI_0017_patch_01.jpg train_data\masks\DJI_0017_patch_01.png
train_data\images\DJI_0017_patch_02.jpg train_data\masks\DJI_0017_patch_02.png
train_data\images\DJI_0017_patch_03.jpg train_data\masks\DJI_0017_patch_03.png
train_data\images\DJI_0017_patch_04.jpg train_data\masks\DJI_0017_patch_04.png
train_data\images\DJI_0017_patch_05.jpg train_data\masks\DJI_0017_patch_05.png
train_data\images\DJI_0017_patch_06.jpg train_data\masks\DJI_0017_patch_06.png
train_data\images\DJI_0017_patch_10.jpg train_data\masks\DJI_0017_patch_10.png
train_data\images\DJI_0017_patch_11.jpg train_data\masks\DJI_0017_patch_11.png
train_data\images\DJI_0017_patch_12.jpg train_data\masks\DJI_0017_patch_12.png
train_data\images\DJI_0017_patch_13.jpg train_data\masks\DJI_0017_patch_13.png
train_data\images\DJI_0017_patch_14.jpg train_data\masks\DJI_0017_patch_14.png
train_data\images\DJI_0017_patch_15.jpg train_data\masks\DJI_0017_patch_15.png
train_data\images\DJI_0017_patch_16.jpg train_data\masks\DJI_0017_patch_16.png
train_data\images\DJI_0017_patch_20.jpg train_data\masks\DJI_0017_patch_20.png
train_data\images\DJI_0017_patch_21.jpg train_data\masks\DJI_0017_patch_21.png
train_data\images\DJI_0017_patch_22.jpg train_data\masks\DJI_0017_patch_22.png
train_data\images\DJI_0017_patch_23.jpg train_data\masks\DJI_0017_patch_23.png
train_data\images\DJI_0017_patch_24.jpg train_data\masks\DJI_0017_patch_24.png
train_data\images\DJI_0017_patch_25.jpg train_data\masks\DJI_0017_patch_25.png
train_data\images\DJI_0017_patch_26.jpg train_data\masks\DJI_0017_patch_26.png
train_data\images\DJI_0017_patch_30.jpg train_data\masks\DJI_0017_patch_30.png
train_data\images\DJI_0017_patch_31.jpg train_data\masks\DJI_0017_patch_31.png
train_data\images\DJI_0017_patch_32.jpg train_data\masks\DJI_0017_patch_32.png
train_data\images\DJI_0017_patch_33.jpg train_data\masks\DJI_0017_patch_33.png
train_data\images\DJI_0017_patch_34.jpg train_data\masks\DJI_0017_patch_34.png
train_data\images\DJI_0017_patch_35.jpg train_data\masks\DJI_0017_patch_35.png
train_data\images\DJI_0017_patch_36.jpg train_data\masks\DJI_0017_patch_36.png
train_data\images\DJI_0017_patch_40.jpg train_data\masks\DJI_0017_patch_40.png
train_data\images\DJI_0017_patch_41.jpg train_data\masks\DJI_0017_patch_41.png
train_data\images\DJI_0017_patch_42.jpg train_data\masks\DJI_0017_patch_42.png
train_data\images\DJI_0017_patch_43.jpg train_data\masks\DJI_0017_patch_43.png
train_data\images\DJI_0017_patch_44.jpg train_data\masks\DJI_0017_patch_44.png
train_data\images\DJI_0017_patch_45.jpg train_data\masks\DJI_0017_patch_45.png
train_data\images\DJI_0017_patch_46.jpg train_data\masks\DJI_0017_patch_46.png
train_data\images\DJI_0019_patch_00.jpg train_data\masks\DJI_0019_patch_00.png
train_data\images\DJI_0019_patch_01.jpg train_data\masks\DJI_0019_patch_01.png
train_data\images\DJI_0019_patch_02.jpg train_data\masks\DJI_0019_patch_02.png
train_data\images\DJI_0019_patch_03.jpg train_data\masks\DJI_0019_patch_03.png
train_data\images\DJI_0019_patch_04.jpg train_data\masks\DJI_0019_patch_04.png
train_data\images\DJI_0019_patch_05.jpg train_data\masks\DJI_0019_patch_05.png
train_data\images\DJI_0019_patch_06.jpg train_data\masks\DJI_0019_patch_06.png
train_data\images\DJI_0019_patch_10.jpg train_data\masks\DJI_0019_patch_10.png
train_data\images\DJI_0019_patch_11.jpg train_data\masks\DJI_0019_patch_11.png
train_data\images\DJI_0019_patch_12.jpg train_data\masks\DJI_0019_patch_12.png
train_data\images\DJI_0019_patch_13.jpg train_data\masks\DJI_0019_patch_13.png
train_data\images\DJI_0019_patch_14.jpg train_data\masks\DJI_0019_patch_14.png
train_data\images\DJI_0019_patch_15.jpg train_data\masks\DJI_0019_patch_15.png
train_data\images\DJI_0019_patch_16.jpg train_data\masks\DJI_0019_patch_16.png
train_data\images\DJI_0019_patch_20.jpg train_data\masks\DJI_0019_patch_20.png
train_data\images\DJI_0019_patch_21.jpg train_data\masks\DJI_0019_patch_21.png
train_data\images\DJI_0019_patch_22.jpg train_data\masks\DJI_0019_patch_22.png
train_data\images\DJI_0019_patch_23.jpg train_data\masks\DJI_0019_patch_23.png
train_data\images\DJI_0019_patch_24.jpg train_data\masks\DJI_0019_patch_24.png
train_data\images\DJI_0019_patch_25.jpg train_data\masks\DJI_0019_patch_25.png
train_data\images\DJI_0019_patch_26.jpg train_data\masks\DJI_0019_patch_26.png
train_data\images\DJI_0019_patch_30.jpg train_data\masks\DJI_0019_patch_30.png
train_data\images\DJI_0019_patch_31.jpg train_data\masks\DJI_0019_patch_31.png
train_data\images\DJI_0019_patch_32.jpg train_data\masks\DJI_0019_patch_32.png
train_data\images\DJI_0019_patch_33.jpg train_data\masks\DJI_0019_patch_33.png
train_data\images\DJI_0019_patch_34.jpg train_data\masks\DJI_0019_patch_34.png
train_data\images\DJI_0019_patch_35.jpg train_data\masks\DJI_0019_patch_35.png
train_data\images\DJI_0019_patch_36.jpg train_data\masks\DJI_0019_patch_36.png
train_data\images\DJI_0019_patch_40.jpg train_data\masks\DJI_0019_patch_40.png
train_data\images\DJI_0019_patch_41.jpg train_data\masks\DJI_0019_patch_41.png
train_data\images\DJI_0019_patch_42.jpg train_data\masks\DJI_0019_patch_42.png
train_data\images\DJI_0019_patch_43.jpg train_data\masks\DJI_0019_patch_43.png
train_data\images\DJI_0019_patch_44.jpg train_data\masks\DJI_0019_patch_44.png
train_data\images\DJI_0019_patch_45.jpg train_data\masks\DJI_0019_patch_45.png
train_data\images\DJI_0019_patch_46.jpg train_data\masks\DJI_0019_patch_46.png
train_data\images\DJI_0020_patch_00.jpg train_data\masks\DJI_0020_patch_00.png
train_data\images\DJI_0020_patch_01.jpg train_data\masks\DJI_0020_patch_01.png
train_data\images\DJI_0020_patch_02.jpg train_data\masks\DJI_0020_patch_02.png
train_data\images\DJI_0020_patch_03.jpg train_data\masks\DJI_0020_patch_03.png
train_data\images\DJI_0020_patch_04.jpg train_data\masks\DJI_0020_patch_04.png
train_data\images\DJI_0020_patch_05.jpg train_data\masks\DJI_0020_patch_05.png
train_data\images\DJI_0020_patch_06.jpg train_data\masks\DJI_0020_patch_06.png
train_data\images\DJI_0020_patch_10.jpg train_data\masks\DJI_0020_patch_10.png
train_data\images\DJI_0020_patch_11.jpg train_data\masks\DJI_0020_patch_11.png
train_data\images\DJI_0020_patch_12.jpg train_data\masks\DJI_0020_patch_12.png
train_data\images\DJI_0020_patch_13.jpg train_data\masks\DJI_0020_patch_13.png
train_data\images\DJI_0020_patch_14.jpg train_data\masks\DJI_0020_patch_14.png
train_data\images\DJI_0020_patch_15.jpg train_data\masks\DJI_0020_patch_15.png
train_data\images\DJI_0020_patch_16.jpg train_data\masks\DJI_0020_patch_16.png
train_data\images\DJI_0020_patch_20.jpg train_data\masks\DJI_0020_patch_20.png
train_data\images\DJI_0020_patch_21.jpg train_data\masks\DJI_0020_patch_21.png
train_data\images\DJI_0020_patch_22.jpg train_data\masks\DJI_0020_patch_22.png
train_data\images\DJI_0020_patch_23.jpg train_data\masks\DJI_0020_patch_23.png
train_data\images\DJI_0020_patch_24.jpg train_data\masks\DJI_0020_patch_24.png
train_data\images\DJI_0020_patch_25.jpg train_data\masks\DJI_0020_patch_25.png
train_data\images\DJI_0020_patch_26.jpg train_data\masks\DJI_0020_patch_26.png
train_data\images\DJI_0020_patch_30.jpg train_data\masks\DJI_0020_patch_30.png
train_data\images\DJI_0020_patch_31.jpg train_data\masks\DJI_0020_patch_31.png
train_data\images\DJI_0020_patch_32.jpg train_data\masks\DJI_0020_patch_32.png
train_data\images\DJI_0020_patch_33.jpg train_data\masks\DJI_0020_patch_33.png
train_data\images\DJI_0020_patch_34.jpg train_data\masks\DJI_0020_patch_34.png
train_data\images\DJI_0020_patch_35.jpg train_data\masks\DJI_0020_patch_35.png
train_data\images\DJI_0020_patch_36.jpg train_data\masks\DJI_0020_patch_36.png
train_data\images\DJI_0020_patch_40.jpg train_data\masks\DJI_0020_patch_40.png
train_data\images\DJI_0020_patch_41.jpg train_data\masks\DJI_0020_patch_41.png
train_data\images\DJI_0020_patch_42.jpg train_data\masks\DJI_0020_patch_42.png
train_data\images\DJI_0020_patch_43.jpg train_data\masks\DJI_0020_patch_43.png
train_data\images\DJI_0020_patch_44.jpg train_data\masks\DJI_0020_patch_44.png
train_data\images\DJI_0020_patch_45.jpg train_data\masks\DJI_0020_patch_45.png
train_data\images\DJI_0020_patch_46.jpg train_data\masks\DJI_0020_patch_46.png
train_data\images\DJI_0021_patch_00.jpg train_data\masks\DJI_0021_patch_00.png
train_data\images\DJI_0021_patch_01.jpg train_data\masks\DJI_0021_patch_01.png
train_data\images\DJI_0021_patch_02.jpg train_data\masks\DJI_0021_patch_02.png
train_data\images\DJI_0021_patch_03.jpg train_data\masks\DJI_0021_patch_03.png
train_data\images\DJI_0021_patch_04.jpg train_data\masks\DJI_0021_patch_04.png
train_data\images\DJI_0021_patch_05.jpg train_data\masks\DJI_0021_patch_05.png
train_data\images\DJI_0021_patch_06.jpg train_data\masks\DJI_0021_patch_06.png
train_data\images\DJI_0021_patch_10.jpg train_data\masks\DJI_0021_patch_10.png
train_data\images\DJI_0021_patch_11.jpg train_data\masks\DJI_0021_patch_11.png
train_data\images\DJI_0021_patch_12.jpg train_data\masks\DJI_0021_patch_12.png
train_data\images\DJI_0021_patch_13.jpg train_data\masks\DJI_0021_patch_13.png
train_data\images\DJI_0021_patch_14.jpg train_data\masks\DJI_0021_patch_14.png
train_data\images\DJI_0021_patch_15.jpg train_data\masks\DJI_0021_patch_15.png
train_data\images\DJI_0021_patch_16.jpg train_data\masks\DJI_0021_patch_16.png
train_data\images\DJI_0021_patch_20.jpg train_data\masks\DJI_0021_patch_20.png
train_data\images\DJI_0021_patch_21.jpg train_data\masks\DJI_0021_patch_21.png
train_data\images\DJI_0021_patch_22.jpg train_data\masks\DJI_0021_patch_22.png
